OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1,GO-2004111878,2004-01-03 05:00:00,2004,January,3,Saturday,3,D53,Other,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.39282836088456,43.68502644145238
2,GO-2004125755,2004-01-08 05:00:00,2004,January,8,Thursday,8,D42,Shooting,142,Woburn North (142),137,Woburn (137),-79.2338520249659,43.78178169646291
3,GO-2004136086,2004-01-08 05:00:00,2004,January,8,Thursday,8,D42,Shooting,146,Malvern East (146),132,Malvern (132),-79.20557418363322,43.810544206016885
4,GO-2004148623,2004-01-25 05:00:00,2004,January,25,Sunday,25,D13,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.43438732575322,43.6704670208731
5,GO-2004148619,2004-01-25 05:00:00,2004,January,25,Sunday,25,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.20495811389637,43.822996573235365
6,GO-2004152518,2004-02-20 05:00:00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957
7,GO-2004152518,2004-02-20 05:00:00,2004,February,20,Friday,51,D31,Stabbing,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50860954401533,43.72085664643957
8,GO-2004172092,2004-02-21 05:00:00,2004,February,21,Saturday,52,D31,Shooting,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),-79.50897064442438,43.72238194643954
9,GO-2004133635,2004-02-21 05:00:00,2004,February,21,Saturday,52,D23,Other,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59285006484198,43.74312897035097
10,GO-2004301868,2004-03-03 05:00:00,2004,March,3,Wednesday,63,D54,Shooting,058,Old East York (58),058,Old East York (58),-79.32876583459874,43.69593780709113
11,GO-2004218585,2004-03-03 05:00:00,2004,March,3,Wednesday,63,D42,Shooting,129,Agincourt North (129),129,Agincourt North (129),-79.26649114007334,43.80803136000409
12,GO-2004218803,2004-03-03 05:00:00,2004,March,3,Wednesday,63,D42,Shooting,144,Morningside Heights (144),131,Rouge (131),-79.22756998043829,43.81633346997617
13,GO-2004200779,2004-03-04 05:00:00,2004,March,4,Thursday,64,D41,Shooting,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.28672506823307,43.70010001279945
14,GO-2004229133,2004-03-13 05:00:00,2004,March,13,Saturday,73,D41,Stabbing,142,Woburn North (142),137,Woburn (137),-79.24165122639911,43.767960091506254
15,GO-2004219659,2004-03-18 05:00:00,2004,March,18,Thursday,78,D53,Other,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.42747739835839,43.70972326523202
16,GO-2004219687,2004-03-24 05:00:00,2004,March,24,Wednesday,84,D42,Other,141,Golfdale-Cedarbrae-Woburn (141),137,Woburn (137),-79.22523617460678,43.75982960503854
17,GO-2004256410,2004-04-01 05:00:00,2004,April,1,Thursday,92,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.37100285365003,43.65829659740034
18,GO-2004250857,2004-04-13 04:00:00,2004,April,13,Tuesday,104,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.55055137092882,43.725094922782766
19,GO-2004350484,2004-05-01 04:00:00,2004,May,1,Saturday,122,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.57924817261214,43.735265076797354
20,GO-2004311851,2004-05-15 04:00:00,2004,May,15,Saturday,136,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.51874191355783,43.769231885658456
21,GO-2004311870,2004-05-19 04:00:00,2004,May,19,Wednesday,140,D22,Stabbing,020,Alderwood (20),020,Alderwood (20),-79.54413342613461,43.594335171479834
22,GO-2004374908,2004-05-20 04:00:00,2004,May,20,Thursday,141,D13,Other,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.4570370392729,43.710157754867204
23,GO-2004408720,2004-05-21 04:00:00,2004,May,21,Friday,142,D23,Other,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.57796047343821,43.7368201752466
24,GO-2004374867,2004-05-21 04:00:00,2004,May,21,Friday,142,D51,Shooting,072,Regent Park (72),072,Regent Park (72),-79.36300135983919,43.66008969919346
25,GO-2004308782,2004-05-22 04:00:00,2004,May,22,Saturday,143,D31,Shooting,029,Maple Leaf (29),029,Maple Leaf (29),-79.47938913716504,43.71473424839894
26,GO-2004418221,2004-05-25 04:00:00,2004,May,25,Tuesday,146,D11,Other,086,Roncesvalles (86),086,Roncesvalles (86),-79.43871612042672,43.64245539168692
27,GO-2004456650,2004-06-01 04:00:00,2004,June,1,Tuesday,153,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.37333245280527,43.66042129952505
28,GO-2004455137,2004-06-04 04:00:00,2004,June,4,Friday,156,D14,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.42811662395982,43.635976479777305
29,GO-2004456829,2004-06-18 04:00:00,2004,June,18,Friday,170,D51,Stabbing,073,Moss Park (73),073,Moss Park (73),-79.36944905342786,43.65452239362609
30,GO-2004510813,2004-06-19 04:00:00,2004,June,19,Saturday,171,D31,Shooting,023,Pelmo Park-Humberlea (23),023,Pelmo Park-Humberlea (23),-79.53512313250128,43.711212833488304
31,GO-2004564223,2004-07-01 04:00:00,2004,July,1,Thursday,183,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5226546089477,43.77215787754014
32,GO-2004565547,2004-07-05 04:00:00,2004,July,5,Monday,187,D41,Stabbing,121,Oakridge (121),121,Oakridge (121),-79.27578637516235,43.69953551977432
33,GO-2004565561,2004-07-07 04:00:00,2004,July,7,Wednesday,189,D22,Stabbing,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.48524121177978,43.630148495345445
34,GO-2004564251,2004-07-08 04:00:00,2004,July,8,Thursday,190,D31,Stabbing,028,Rustic (28),028,Rustic (28),-79.50528464267695,43.70842724643954
35,GO-2004565588,2004-07-09 04:00:00,2004,July,9,Friday,191,D32,Stabbing,151,Yonge-Doris (151),051,Willowdale East (51),-79.41243927814328,43.76747578740376
36,GO-2004986698,2004-07-12 04:00:00,2004,July,12,Monday,194,D42,Other,146,Malvern East (146),132,Malvern (132),-79.23604407328692,43.79187428752406
37,GO-2004592201,2004-07-21 04:00:00,2004,July,21,Wednesday,203,D33,Shooting,048,Hillcrest Village (48),048,Hillcrest Village (48),-79.35632879076118,43.80087040833472
38,GO-2004593866,2004-07-23 04:00:00,2004,July,23,Friday,205,D11,Other,090,Junction Area (90),090,Junction Area (90),-79.46764062437151,43.66324645467611
39,GO-2004594159,2004-07-24 04:00:00,2004,July,24,Saturday,206,D51,Shooting,073,Moss Park (73),073,Moss Park (73),-79.36666165400118,43.650667689771275
40,GO-2004607864,2004-08-05 04:00:00,2004,August,5,Thursday,218,D11,Other,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.45338791922754,43.66332452662033
41,GO-2004616055,2004-08-18 04:00:00,2004,August,18,Wednesday,231,D31,Stabbing,028,Rustic (28),028,Rustic (28),-79.50378934712265,43.702878854542554
42,GO-2004605174,2004-08-19 04:00:00,2004,August,19,Thursday,232,D13,Stabbing,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.44107938149152,43.70223925992143
43,GO-2004635798,2004-08-30 04:00:00,2004,August,30,Monday,243,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.37269015055186,43.652376591480255
44,GO-2004592255,2004-08-30 04:00:00,2004,August,30,Monday,243,D42,Shooting,134,Highland Creek (134),134,Highland Creek (134),-79.15776643686297,43.79384427382607
45,GO-2004642839,2004-08-31 04:00:00,2004,August,31,Tuesday,244,D31,Stabbing,022,Humbermede (22),022,Humbermede (22),-79.54906549257699,43.750643884213034
46,GO-2004642110,2004-09-05 04:00:00,2004,September,5,Sunday,249,D23,Shooting,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),-79.56142913460495,43.70063386702758
47,GO-2004650681,2004-09-21 04:00:00,2004,September,21,Tuesday,265,D23,Shooting,001,West Humber-Clairville (1),001,West Humber-Clairville (1),-79.61330758303609,43.73216989257541
48,GO-2004633558,2004-09-22 04:00:00,2004,September,22,Wednesday,266,D11,Other,027,York University Heights (27),027,York University Heights (27),-79.49235690443868,43.74532314038104
49,GO-2004676448,2004-10-08 04:00:00,2004,October,8,Friday,282,D55,Other,070,South Riverdale (70),070,South Riverdale (70),-79.33726348726137,43.66055892453254
50,GO-2004683174,2004-10-15 04:00:00,2004,October,15,Friday,289,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.50053564358099,43.71127014643955
51,GO-2004643900,2004-10-21 04:00:00,2004,October,21,Thursday,295,D11,Other,088,High Park North (88),088,High Park North (88),-79.47285541974387,43.65189454478549
52,GO-2004696852,2004-10-27 04:00:00,2004,October,27,Wednesday,301,D53,Other,099,Mount Pleasant East (99),099,Mount Pleasant East (99),-79.37857688325164,43.70101315597797
53,GO-2004697185,2004-11-12 05:00:00,2004,November,12,Friday,317,D13,Other,092,Corso Italia-Davenport (92),092,Corso Italia-Davenport (92),-79.45052881726266,43.67620501875811
54,GO-2004734705,2004-12-01 05:00:00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.42871182741608,43.669299617974026
55,GO-2004734705,2004-12-01 05:00:00,2004,December,1,Wednesday,336,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.42871182741608,43.669299617974026
56,GO-2004735933,2004-12-02 05:00:00,2004,December,2,Thursday,337,D42,Other,133,Centennial Scarborough (133),133,Centennial Scarborough (133),-79.16928531869596,43.78203738528839
57,GO-2004734029,2004-12-03 05:00:00,2004,December,3,Friday,338,D54,Stabbing,058,Old East York (58),058,Old East York (58),-79.32876583459874,43.69593780709113
58,GO-2004730198,2004-12-11 05:00:00,2004,December,11,Saturday,346,D14,Stabbing,079,University (79),079,University (79),-79.40181713527005,43.657633799332324
59,GO-2004735980,2004-12-11 05:00:00,2004,December,11,Saturday,346,D33,Stabbing,040,St.Andrew-Windfields (40),040,St.Andrew-Windfields (40),-79.3849625101428,43.75216128870356
60,GO-2004775505,2004-12-12 05:00:00,2004,December,12,Sunday,347,D54,Stabbing,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.30900155310754,43.708707885237146
61,GO-2004811677,2004-12-19 05:00:00,2004,December,19,Sunday,354,D41,Shooting,124,Kennedy Park (124),124,Kennedy Park (124),-79.25651772288356,43.73076528593403
62,GO-2004736004,2004-12-19 05:00:00,2004,December,19,Sunday,354,D51,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.37885704920541,43.66067089977467
63,GO-2004730003,2004-12-20 05:00:00,2004,December,20,Monday,355,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.32776813478974,43.712617172163604
64,GO-2004860547,2004-12-31 05:00:00,2004,December,31,Friday,366,D42,Stabbing,123,Cliffcrest (123),123,Cliffcrest (123),-79.23590375439238,43.735373984112265
65,GO-2005879569,2005-01-14 05:00:00,2005,January,14,Friday,14,D42,Stabbing,130,Milliken (130),130,Milliken (130),-79.26523123669332,43.827374345440084
66,GO-2005910043,2005-01-18 05:00:00,2005,January,18,Tuesday,18,D14,Stabbing,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.42444832753009,43.66537821263153
67,GO-2005920738,2005-01-21 05:00:00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West (162),082,Niagara (82),-79.40770273076438,43.64290658457796
68,GO-2005920738,2005-01-21 05:00:00,2005,January,21,Friday,21,D14,Shooting,162,West Queen West (162),082,Niagara (82),-79.40770273076438,43.64290658457796
69,GO-20051003568,2005-01-24 05:00:00,2005,January,24,Monday,24,D42,Other,116,Steeles (116),116,Steeles (116),-79.33213701327227,43.80720783224883
70,GO-2005812174,2005-01-26 05:00:00,2005,January,26,Wednesday,26,D31,Other,024,Black Creek (24),024,Black Creek (24),-79.52139740958275,43.77323597873821
71,GO-2005733656,2005-02-11 05:00:00,2005,February,11,Friday,42,D12,Other,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),-79.4557654207592,43.67032293431869
72,GO-2005951634,2005-02-11 05:00:00,2005,February,11,Friday,42,D33,Shooting,126,Dorset Park (126),126,Dorset Park (126),-79.28227009559461,43.76942243842896
73,GO-2005736672,2005-02-12 05:00:00,2005,February,12,Saturday,43,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.58709009242014,43.753617382550246
74,GO-2005918414,2005-02-15 05:00:00,2005,February,15,Tuesday,46,D51,Shooting,074,North St.James Town (74),074,North St.James Town (74),-79.37376715504146,43.667288406453174
75,GO-2005768554,2005-02-15 05:00:00,2005,February,15,Tuesday,46,D41,Shooting,126,Dorset Park (126),126,Dorset Park (126),-79.28227009559461,43.76942243842896
76,GO-2005929672,2005-02-18 05:00:00,2005,February,18,Friday,49,D22,Other,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),-79.49184402689356,43.613289721509304
77,GO-2005969241,2005-02-28 05:00:00,2005,February,28,Monday,59,D32,Shooting,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.44594381887028,43.7859561954736
78,GO-2005953786,2005-03-05 05:00:00,2005,March,5,Saturday,64,D33,Shooting,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.35628790639534,43.740990599425736
79,GO-2005745939,2005-03-11 05:00:00,2005,March,11,Friday,70,D22,Stabbing,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),-79.49822611744342,43.62391801912946
80,GO-2005758352,2005-03-25 05:00:00,2005,March,25,Friday,84,D51,Shooting,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.37935794927299,43.661875500979264
81,GO-2005884190,2005-04-13 04:00:00,2005,April,13,Wednesday,103,D41,Shooting,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.28125166204835,43.68532983714102
82,GO-20051052948,2005-04-18 04:00:00,2005,April,18,Monday,108,D11,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.43601502132704,43.63717448400747
83,GO-20051006774,2005-04-19 04:00:00,2005,April,19,Tuesday,109,D52,Other,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.38399524124279,43.64238598148964
84,GO-2005739652,2005-04-24 04:00:00,2005,April,24,Sunday,114,D31,Shooting,021,Humber Summit (21),021,Humber Summit (21),-79.55293379405703,43.75144498737536
85,GO-2005736140,2005-05-04 04:00:00,2005,May,4,Wednesday,124,D42,Stabbing,129,Agincourt North (129),129,Agincourt North (129),-79.28063232099531,43.80644665591922
86,GO-2005737037,2005-05-05 04:00:00,2005,May,5,Thursday,125,D31,Stabbing,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.51531921362543,43.75521578341654
87,GO-2005739574,2005-05-05 04:00:00,2005,May,5,Thursday,125,D14,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.43533392206238,43.65986071074255
88,GO-2005756176,2005-05-08 04:00:00,2005,May,8,Sunday,128,D54,Shooting,066,Danforth (66),066,Danforth (66),-79.3417816084041,43.67953807627558
89,GO-20051001532,2005-05-14 04:00:00,2005,May,14,Saturday,134,D51,Shooting,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.38162554982559,43.66736870647241
90,GO-2005863844,2005-05-15 04:00:00,2005,May,15,Sunday,135,D41,Shooting,128,Agincourt South-Malvern West (128),128,Agincourt South-Malvern West (128),-79.24486086495386,43.78283677855879
91,GO-2005988453,2005-05-18 04:00:00,2005,May,18,Wednesday,138,D42,Shooting,136,West Hill (136),136,West Hill (136),-79.190646501461,43.75870619600596
92,GO-2005781084,2005-05-27 04:00:00,2005,May,27,Friday,147,D31,Stabbing,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.50965398992491,43.73968184072089
93,GO-2005760646,2005-06-12 04:00:00,2005,June,12,Sunday,163,D55,Shooting,062,East End-Danforth (62),062,East End-Danforth (62),-79.29494105649931,43.689721823944126
94,GO-20051000509,2005-06-24 04:00:00,2005,June,24,Friday,175,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5218381130854,43.76679598452698
95,GO-2005834756,2005-06-25 04:00:00,2005,June,25,Saturday,176,D32,Stabbing,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.44087455528734,43.72084485655473
96,GO-20051086009,2005-06-29 04:00:00,2005,June,29,Wednesday,180,D14,Shooting,172,Dovercourt Village (172),093,Dovercourt-Wallace Emerson-Junction (93),-79.43813932331516,43.66642441824135
97,GO-2005884293,2005-07-06 04:00:00,2005,July,6,Wednesday,187,D23,Shooting,022,Humbermede (22),022,Humbermede (22),-79.56861058007279,43.74624328073534
98,GO-20051150352,2005-07-15 04:00:00,2005,July,15,Friday,196,D42,Other,136,West Hill (136),136,West Hill (136),-79.19166580587272,43.76981489361299
99,GO-2005863854,2005-07-17 04:00:00,2005,July,17,Sunday,198,D41,Other,121,Oakridge (121),121,Oakridge (121),-79.27252697406107,43.69462422848098
100,GO-20051059962,2005-07-19 04:00:00,2005,July,19,Tuesday,200,D12,Shooting,111,Rockcliffe-Smythe (111),111,Rockcliffe-Smythe (111),-79.48208659891681,43.68060391274556
101,GO-20051070618,2005-07-20 04:00:00,2005,July,20,Wednesday,201,D33,Other,149,Parkwoods-O'Connor Hills (149),045,Parkwoods-Donalda (45),-79.32581835224998,43.74338431911577
102,GO-20051135001,2005-07-30 04:00:00,2005,July,30,Saturday,211,D31,Shooting,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.4410149550129,43.72012365670612
103,GO-20051033503,2005-07-30 04:00:00,2005,July,30,Saturday,211,D42,Shooting,148,East L'Amoreaux (148),117,L'Amoreaux (117),-79.31575388981902,43.79676839792209
104,GO-20051148137,2005-07-31 04:00:00,2005,July,31,Sunday,212,D52,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.38016214734333,43.657694896798695
105,GO-20051041793,2005-08-03 04:00:00,2005,August,3,Wednesday,215,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.58261467205789,43.73396767891982
106,GO-20051102449,2005-08-05 04:00:00,2005,August,5,Friday,217,D42,Shooting,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33172587929167,43.798515592107705
107,GO-20051068304,2005-08-07 04:00:00,2005,August,7,Sunday,219,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.37550795311523,43.66570230480603
108,GO-20051068304,2005-08-07 04:00:00,2005,August,7,Sunday,219,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.37550795311523,43.66570230480603
109,GO-2005985817,2005-08-13 04:00:00,2005,August,13,Saturday,225,D23,Shooting,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),-79.52058076458601,43.695817575552766
110,GO-20051156816,2005-08-15 04:00:00,2005,August,15,Monday,227,D51,Shooting,071,Cabbagetown-South St.James Town (71),071,Cabbagetown-South St.James Town (71),-79.37466545428822,43.66709410620915
111,GO-20051072514,2005-08-16 04:00:00,2005,August,16,Tuesday,228,D54,Shooting,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.33494772634278,43.71872655239281
112,GO-2005117846,2005-08-18 04:00:00,2005,August,18,Thursday,230,D41,Other,156,Bendale-Glen Andrew (156),127,Bendale (127),-79.26664364249754,43.75813836425271
113,GO-20051183577,2005-08-20 04:00:00,2005,August,20,Saturday,232,D22,Other,018,New Toronto (18),018,New Toronto (18),-79.50819536860408,43.6016825297574
114,GO-20051189864,2005-08-25 04:00:00,2005,August,25,Thursday,237,D42,Shooting,139,Scarborough Village (139),139,Scarborough Village (139),-79.22054578186582,43.7428339852155
115,GO-2005761120,2005-08-30 04:00:00,2005,August,30,Tuesday,242,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.50949308757724,43.73913123621901
116,GO-20051178414,2005-08-31 04:00:00,2005,August,31,Wednesday,243,D51,Other,073,Moss Park (73),073,Moss Park (73),-79.37009915354126,43.65616289526663
117,GO-20051389771,2005-09-06 04:00:00,2005,September,6,Tuesday,249,D33,Stabbing,042,Banbury-Don Mills (42),042,Banbury-Don Mills (42),-79.34285652530991,43.74054140850868
118,GO-20051101797,2005-09-08 04:00:00,2005,September,8,Thursday,251,D31,Shooting,028,Rustic (28),028,Rustic (28),-79.50131274603079,43.704970651103025
119,GO-2005739598,2005-09-09 04:00:00,2005,September,9,Friday,252,D14,Shooting,163,Fort York-Liberty Village (163),082,Niagara (82),-79.39920223359782,43.63524477434855
120,GO-20051096519,2005-09-10 04:00:00,2005,September,10,Saturday,253,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.51473051613645,43.76721268870932
121,GO-20051203047,2005-09-13 04:00:00,2005,September,13,Tuesday,256,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.51633091253203,43.751892281119154
122,GO-20051156513,2005-09-16 04:00:00,2005,September,16,Friday,259,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.54932877220578,43.7272962290426
123,GO-20051156513,2005-09-16 04:00:00,2005,September,16,Friday,259,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.54932877220578,43.7272962290426
124,GO-20051156513,2005-09-16 04:00:00,2005,September,16,Friday,259,D23,Shooting,005,Elms-Old Rexdale (5),005,Elms-Old Rexdale (5),-79.54932877220578,43.7272962290426
125,GO-20051139553,2005-09-16 04:00:00,2005,September,16,Friday,259,D14,Shooting,085,South Parkdale (85),085,South Parkdale (85),-79.4347125217612,43.6374559839486
126,GO-20051158528,2005-09-19 04:00:00,2005,September,19,Monday,262,D32,Stabbing,033,Clanton Park (33),033,Clanton Park (33),-79.44001149191362,43.736120054767376
127,GO-20051228892,2005-09-22 04:00:00,2005,September,22,Thursday,265,D54,Other,058,Old East York (58),058,Old East York (58),-79.33525753027094,43.69453790794785
128,GO-20051141576,2005-10-01 04:00:00,2005,October,1,Saturday,274,D42,Stabbing,136,West Hill (136),136,West Hill (136),-79.16263981945792,43.770401797757046
129,GO-20051325246,2005-10-22 04:00:00,2005,October,22,Saturday,295,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5884871663062,43.73871947438929
130,GO-20051265274,2005-10-23 04:00:00,2005,October,23,Sunday,296,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59169366551264,43.73676857632022
131,GO-20051265274,2005-10-23 04:00:00,2005,October,23,Sunday,296,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59169366551264,43.73676857632022
132,GO-20051317338,2005-11-01 05:00:00,2005,November,1,Tuesday,305,D42,Shooting,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33172587929167,43.798515592107705
133,GO-20051293148,2005-11-02 05:00:00,2005,November,2,Wednesday,306,D54,Other,054,O'Connor-Parkview (54),054,O'Connor-Parkview (54),-79.3015962601505,43.71532457414988
134,GO-20051283750,2005-11-05 05:00:00,2005,November,5,Saturday,309,D14,Other,085,South Parkdale (85),085,South Parkdale (85),-79.43243682251976,43.63967428614775
135,GO-20051345445,2005-11-09 05:00:00,2005,November,9,Wednesday,313,D13,Shooting,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.44278558784455,43.69729606471763
136,GO-20051356083,2005-11-12 05:00:00,2005,November,12,Saturday,316,D32,Stabbing,153,Avondale (153),051,Willowdale East (51),-79.4085480146914,43.757608888348294
137,GO-20051322417,2005-11-14 05:00:00,2005,November,14,Monday,318,D12,Shooting,091,Weston-Pelham Park (91),091,Weston-Pelham Park (91),-79.46360780658861,43.6807171107636
138,GO-20051258191,2005-11-18 05:00:00,2005,November,18,Friday,322,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59330746336371,43.74178087083329
139,GO-20051337264,2005-11-26 05:00:00,2005,November,26,Saturday,330,D41,Stabbing,126,Dorset Park (126),126,Dorset Park (126),-79.27789621660517,43.74545945994597
140,GO-20051428567,2005-11-29 05:00:00,2005,November,29,Tuesday,333,D11,Shooting,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),-79.44866641752404,43.65957801525191
141,GO-20051440086,2005-12-01 05:00:00,2005,December,1,Thursday,335,D31,Shooting,NSA,NSA,NSA,NSA,-79.54063991816915,43.771526487066055
142,GO-20051439907,2005-12-16 05:00:00,2005,December,16,Friday,350,D53,Other,102,Forest Hill North (102),102,Forest Hill North (102),-79.42684340066464,43.707138366452924
143,GO-20051443414,2005-12-23 05:00:00,2005,December,23,Friday,357,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.51669281208962,43.75185858101418
144,GO-20051229258,2005-12-26 05:00:00,2005,December,26,Monday,360,D52,Shooting,064,Woodbine Corridor (64),064,Woodbine Corridor (64),-79.31768623935187,43.68463092042731
145,GO-20061426456,2006-01-01 05:00:00,2006,January,1,Sunday,1,D13,Shooting,108,Briar Hill-Belgravia (108),108,Briar Hill-Belgravia (108),-79.4473049856385,43.6963320656177
146,GO-20061557753,2006-01-26 05:00:00,2006,January,26,Thursday,26,D32,Other,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.41492865194901,43.73520047473777
147,GO-20061361475,2006-02-06 05:00:00,2006,February,6,Monday,37,D31,Shooting,025,Glenfield-Jane Heights (25),025,Glenfield-Jane Heights (25),-79.5017262097581,43.74505555952437
148,GO-20061511490,2006-02-08 05:00:00,2006,February,8,Wednesday,39,D54,Stabbing,044,Flemingdon Park (44),044,Flemingdon Park (44),-79.33494772634278,43.71872655239281
149,GO-20061624304,2006-02-09 05:00:00,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33044347628417,43.79680408540309
150,GO-20061624304,2006-02-09 05:00:00,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33044347628417,43.79680408540309
151,GO-20061624304,2006-02-09 05:00:00,2006,February,9,Thursday,40,D42,Stabbing,147,L'Amoreaux West (147),117,L'Amoreaux (117),-79.33044347628417,43.79680408540309
152,GO-20061559867,2006-03-02 05:00:00,2006,March,2,Thursday,61,D54,Other,061,Taylor-Massey (61),061,Taylor-Massey (61),-79.2925060595273,43.69286262052792
153,GO-20061597252,2006-03-04 05:00:00,2006,March,4,Saturday,63,D43,Other,134,Highland Creek (134),134,Highland Creek (134),-79.17438189775204,43.79271538676752
154,GO-20061640987,2006-03-12 05:00:00,2006,March,12,Sunday,71,D31,Shooting,022,Humbermede (22),022,Humbermede (22),-79.54521679307662,43.74787608113298
155,GO-20061591256,2006-03-14 05:00:00,2006,March,14,Tuesday,73,D43,Shooting,139,Scarborough Village (139),139,Scarborough Village (139),-79.2189016837165,43.74317708571763
