OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
928,GO-2018393677,2018-03-02 05:00:00,2018,March,2,Friday,61,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.5203587127037,43.76882118405517
929,GO-2018413955,2018-03-06 05:00:00,2018,March,6,Tuesday,65,D33,Stabbing,150,Fenside-Parkwoods (150),045,Parkwoods-Donalda (45),-79.34712865555505,43.76176621492781
930,GO-2018444497,2018-03-10 05:00:00,2018,March,10,Saturday,69,D23,Shooting,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.5881393689254,43.74631847316927
931,GO-2018484039,2018-03-16 04:00:00,2018,March,16,Friday,75,D23,Shooting,008,Humber Heights-Westmount (8),008,Humber Heights-Westmount (8),-79.51733426722471,43.69461397681813
932,GO-2018489653,2018-03-17 04:00:00,2018,March,17,Saturday,76,D32,Shooting,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.45546340551256,43.717652555616404
933,GO-2018489653,2018-03-17 04:00:00,2018,March,17,Saturday,76,D32,Shooting,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),-79.45546340551256,43.717652555616404
934,GO-2018619032,2018-04-06 04:00:00,2018,April,6,Friday,96,D41,Shooting,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.31808577191093,43.76452472231742
935,GO-2018661938,2018-04-08 04:00:00,2018,April,8,Sunday,98,D41,Other,119,Wexford/Maryvale (119),119,Wexford/Maryvale (119),-79.30797047737572,43.74435103212496
936,GO-2018639035,2018-04-10 04:00:00,2018,April,10,Tuesday,100,D54,Stabbing,058,Old East York (58),058,Old East York (58),-79.34311302472915,43.69473510560875
937,GO-2018711594,2018-04-21 04:00:00,2018,April,21,Saturday,111,D41,Stabbing,124,Kennedy Park (124),124,Kennedy Park (124),-79.25248672415931,43.72777918780734
938,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
939,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
940,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
941,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
942,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
943,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
944,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
945,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
946,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
947,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
948,GO-2018725711,2018-04-23 04:00:00,2018,April,23,Monday,113,D32,Other,153,Avondale (153),051,Willowdale East (51),-79.41053430717945,43.75997848796138
949,GO-2018813479,2018-05-06 04:00:00,2018,May,6,Sunday,126,D41,Stabbing,122,Birchcliffe-Cliffside (122),122,Birchcliffe-Cliffside (122),-79.27878265952148,43.674805148866405
950,GO-2018821806,2018-05-07 04:00:00,2018,May,7,Monday,127,D22,Shooting,010,Princess-Rosethorn (10),010,Princess-Rosethorn (10),-79.55015919007994,43.67338975535091
951,GO-2018911506,2018-05-20 04:00:00,2018,May,20,Sunday,140,D52,Shooting,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.37852514487047,43.648386187489805
